Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears
22,Yes,Travel_Rarely,1294,Research & Development,8,High School,Medical,1783,3,Female,79,3,1,Laboratory Technician,1,Married,2398,1,Y,Yes,17,3,3,0,1
28,Yes,Travel_Rarely,329,Research & Development,24,Master,Medical,1604,3,Male,51,3,1,Laboratory Technician,2,Married,2408,1,Y,Yes,17,3,3,3,1
28,Yes,Travel_Rarely,1485,Research & Development,12,High School,Life Sciences,1175,3,Female,79,3,1,Laboratory Technician,4,Married,2515,1,Y,Yes,11,3,4,0,1
28,Yes,Travel_Frequently,1009,Research & Development,1,Master,Medical,1111,1,Male,45,2,1,Laboratory Technician,2,Divorced,2596,1,Y,No,15,3,1,2,1
35,No,Travel_Rarely,1349,Research & Development,7,Bachelor,Life Sciences,1601,3,Male,63,2,1,Laboratory Technician,4,Married,,1,Y,No,18,3,4,1,1
30,No,Travel_Rarely,1358,Research & Development,24,High School,Life Sciences,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,,1,Y,No,22,4,2,1,1
24,No,Non-Travel,1092,Research & Development,9,Master,Life Sciences,812,3,Male,60,2,1,Laboratory Technician,2,Divorced,,1,Y,No,11,3,3,3,1
32,Yes,Travel_Rarely,374,Research & Development,25,PhD,Life Sciences,911,1,Male,87,3,1,Laboratory Technician,4,Single,2795,1,Y,Yes,24,4,3,0,1
22,No,Travel_Rarely,534,Research & Development,15,Master,Medical,144,2,Female,59,3,1,Laboratory Technician,4,Single,2871,1,Y,No,15,3,3,0,1
20,Yes,Travel_Frequently,,Research & Development,6,Master,Life Sciences,137,4,Female,66,2,1,Laboratory Technician,4,Single,2926,1,Y,Yes,18,3,2,0,1
22,No,Non-Travel,1123,Research & Development,16,Bachelor,Medical,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,1,Y,Yes,13,3,2,2,1
20,Yes,Travel_Rarely,129,Research & Development,4,Master,Technical Degree,960,1,Male,84,3,1,Laboratory Technician,1,Single,2973,1,Y,No,19,3,2,0,1
20,Yes,Travel_Rarely,1362,Research & Development,10,High School,Medical,701,4,Male,32,3,1,Research Scientist,3,Single,1009,1,Y,Yes,11,3,4,0,1
23,No,Travel_Rarely,373,Research & Development,1,Bachelor,Life Sciences,1270,4,Male,47,3,1,Research Scientist,3,Married,1223,1,Y,No,22,4,4,1,1
31,Yes,Travel_Rarely,202,Research & Development,8,Master,Life Sciences,1433,1,Female,34,2,1,Research Scientist,2,Single,1261,1,Y,No,12,3,3,0,1
30,No,Non-Travel,,Research & Development,7,Master,Technical Degree,1482,3,Male,64,3,1,Research Scientist,3,Divorced,1274,1,Y,No,13,3,2,2,1
28,No,Travel_Rarely,,Research & Development,1,Master,Life Sciences,1506,1,Male,72,2,1,Research Scientist,3,Divorced,1563,1,Y,No,14,3,4,1,1
19,Yes,Non-Travel,504,Research & Development,10,Master,Medical,1248,1,Female,96,2,1,Research Scientist,2,Single,1859,1,Y,Yes,25,4,2,0,1
26,No,Travel_Rarely,474,Research & Development,3,Master,Life Sciences,1581,1,Female,89,3,1,Research Scientist,4,Married,,1,Y,No,21,4,1,0,1
30,No,Travel_Frequently,160,Research & Development,3,Master,Medical,680,3,Female,71,3,1,Research Scientist,3,Divorced,2083,1,Y,No,20,4,3,1,1
29,No,Travel_Rarely,590,Research & Development,4,Master,Technical Degree,1762,4,Female,91,2,1,Research Scientist,1,Divorced,,1,Y,No,13,3,3,1,1
45,No,Travel_Rarely,252,Research & Development,2,Master,Life Sciences,834,2,Female,95,2,1,Research Scientist,3,Single,2274,1,Y,No,14,3,4,0,1
27,No,Travel_Rarely,618,Research & Development,4,Master,Life Sciences,933,2,Female,76,3,1,Research Scientist,3,Single,2318,1,Y,No,19,3,3,0,1
29,Yes,Travel_Frequently,459,Research & Development,24,Bachelor,Life Sciences,1868,4,Male,73,2,1,Research Scientist,4,Single,2439,1,Y,Yes,24,4,2,0,1
22,Yes,Travel_Rarely,391,Research & Development,7,High School,Life Sciences,1878,4,Male,75,3,1,Research Scientist,2,Single,2472,1,Y,Yes,23,4,1,0,1
31,No,Travel_Rarely,1082,Research & Development,1,PhD,Medical,95,3,Male,87,3,1,Research Scientist,2,Single,2501,1,Y,No,17,3,2,0,1
19,No,Travel_Rarely,645,Research & Development,9,Bachelor,Life Sciences,1193,3,Male,54,3,1,Research Scientist,1,Single,2552,1,Y,No,25,4,3,0,1
27,No,Non-Travel,1450,Research & Development,3,Master,Medical,224,3,Male,79,2,1,Research Scientist,3,Divorced,2566,1,Y,Yes,15,3,4,1,1
20,Yes,Travel_Rarely,1097,Research & Development,11,Master,Medical,1016,4,Female,98,2,1,Research Scientist,1,Single,2600,1,Y,Yes,15,3,1,0,1
21,Yes,Travel_Rarely,,Research & Development,18,High School,Other,923,4,Female,65,3,1,Research Scientist,4,Single,,1,Y,No,19,3,1,0,1
51,No,Travel_Rarely,,Research & Development,1,Master,Life Sciences,353,3,Male,96,3,1,Research Scientist,4,Married,2723,1,Y,No,11,3,2,0,1
20,No,Travel_Rarely,,Research & Development,1,Master,Life Sciences,657,4,Female,83,2,1,Research Scientist,2,Single,2836,1,Y,No,13,3,4,0,1
22,Yes,Travel_Frequently,,Research & Development,3,PhD,Life Sciences,1203,3,Male,48,2,1,Research Scientist,4,Married,2853,0,Y,Yes,11,3,2,1,1
26,No,Travel_Rarely,482,Research & Development,1,Bachelor,Life Sciences,1893,2,Female,90,2,1,Research Scientist,3,Married,2933,1,Y,Yes,13,3,3,1,1
32,No,Travel_Rarely,,Research & Development,1,High School,Life Sciences,134,4,Male,71,3,1,Research Scientist,1,Single,,1,Y,No,13,3,4,0,1
34,No,Travel_Rarely,479,Research & Development,7,PhD,Medical,1577,1,Male,35,3,1,Research Scientist,4,Single,2972,1,Y,No,13,3,3,0,1
19,No,Travel_Rarely,265,Research & Development,25,Master,Life Sciences,1269,2,Female,57,4,1,Research Scientist,4,Single,2994,1,Y,Yes,12,3,4,0,1
28,No,Travel_Rarely,1144,Sales,10,High School,Medical,1056,4,Male,74,3,1,Sales Representative,2,Married,1052,1,Y,No,22,4,2,0,1
30,Yes,Travel_Rarely,,Sales,9,Master,Medical,1876,2,Male,89,3,1,Sales Representative,4,Single,1081,1,Y,No,13,3,3,0,1
29,Yes,Travel_Frequently,746,Sales,24,Master,Technical Degree,1928,3,Male,45,4,1,Sales Representative,1,Single,1091,1,Y,No,17,3,4,0,1
25,Yes,Travel_Frequently,599,Sales,24,High School,Life Sciences,1273,3,Male,73,1,1,Sales Representative,4,Single,1118,1,Y,Yes,14,3,4,0,1
31,Yes,Travel_Frequently,667,Sales,1,PhD,Life Sciences,1427,2,Female,50,1,1,Sales Representative,3,Single,1359,1,Y,No,12,3,2,0,1
23,Yes,Travel_Frequently,638,Sales,9,Master,Marketing,2023,4,Male,33,3,1,Sales Representative,1,Married,1790,1,Y,No,19,3,1,1,1
30,Yes,Travel_Frequently,448,Sales,12,PhD,Life Sciences,648,2,Male,74,2,1,Sales Representative,1,Married,2033,1,Y,No,18,3,3,1,1
24,No,Non-Travel,,Sales,13,Bachelor,Life Sciences,1495,4,Female,78,3,1,Sales Representative,2,Married,2033,1,Y,No,13,3,3,1,1
19,Yes,Travel_Rarely,419,Sales,21,Master,Other,959,4,Male,37,2,1,Sales Representative,2,Single,,1,Y,Yes,13,3,2,0,1
34,No,Travel_Rarely,1333,Sales,10,PhD,Life Sciences,1055,3,Female,87,3,1,Sales Representative,3,Married,2220,1,Y,Yes,19,3,4,1,1
19,Yes,Travel_Frequently,602,Sales,1,High School,Technical Degree,235,3,Female,100,1,1,Sales Representative,1,Single,2325,0,Y,No,21,4,1,0,1
35,No,Travel_Rarely,660,Sales,7,High School,Life Sciences,1492,4,Male,76,3,1,Sales Representative,3,Married,2404,1,Y,No,13,3,1,1,1
25,Yes,Travel_Rarely,,Sales,19,Bachelor,Marketing,952,3,Male,36,2,1,Sales Representative,2,Married,2413,1,Y,Yes,18,3,3,3,1
30,No,Travel_Rarely,202,Sales,2,High School,Technical Degree,508,3,Male,72,3,1,Sales Representative,2,Married,2476,1,Y,No,18,3,1,1,1
29,No,Travel_Rarely,1396,Sales,10,Master,Life Sciences,749,3,Male,99,3,1,Sales Representative,3,Single,2642,1,Y,No,11,3,3,0,1
21,Yes,Travel_Rarely,337,Sales,7,High School,Marketing,1780,2,Male,31,3,1,Sales Representative,2,Single,,1,Y,No,13,3,2,0,1
21,Yes,Travel_Rarely,156,Sales,12,Master,Life Sciences,494,3,Female,90,4,1,Sales Representative,2,Single,2716,1,Y,No,15,3,4,0,1
32,No,Non-Travel,,Sales,2,High School,Life Sciences,1190,3,Female,76,3,1,Sales Representative,1,Divorced,2827,1,Y,No,12,3,3,3,1
33,Yes,Travel_Rarely,350,Sales,5,Master,Marketing,485,4,Female,34,3,1,Sales Representative,3,Single,2851,1,Y,Yes,13,3,2,0,1
28,No,Travel_Rarely,1172,Sales,3,Master,Medical,1875,2,Female,78,3,1,Sales Representative,2,Married,2856,1,Y,No,19,3,4,1,1
34,Yes,Travel_Rarely,1107,Human Resources,9,PhD,Technical Degree,1467,1,Female,52,3,1,Human Resources,3,Married,2742,1,Y,No,15,3,4,0,2
31,Yes,Travel_Rarely,359,Human Resources,18,Post-Doc,Human Resources,1842,4,Male,89,4,1,Human Resources,1,Married,2956,0,Y,No,17,3,3,0,2
38,No,Travel_Rarely,1380,Research & Development,9,Bachelor,Life Sciences,245,3,Female,75,3,1,Laboratory Technician,4,Single,2288,1,Y,No,12,3,3,0,2
24,No,Travel_Rarely,350,Research & Development,21,Bachelor,Technical Degree,1551,3,Male,57,2,1,Laboratory Technician,1,Divorced,2296,0,Y,No,14,3,2,3,2
35,No,Travel_Frequently,636,Research & Development,4,PhD,Other,1185,4,Male,47,2,1,Laboratory Technician,4,Married,2376,1,Y,No,13,3,2,1,2
31,Yes,Travel_Frequently,,Research & Development,15,Master,Medical,1160,3,Male,72,3,1,Laboratory Technician,3,Married,2610,1,Y,No,12,3,3,1,2
21,Yes,Travel_Frequently,251,Research & Development,10,Bachelor,Life Sciences,1279,1,Female,45,2,1,Laboratory Technician,3,Single,2625,1,Y,No,20,4,3,0,2
32,No,Travel_Frequently,116,Research & Development,13,Master,Other,1234,3,Female,77,2,1,Laboratory Technician,2,Married,2743,1,Y,No,20,4,3,1,2
20,No,Travel_Rarely,,Research & Development,3,Master,Life Sciences,1198,1,Male,87,2,1,Laboratory Technician,3,Single,3033,1,Y,No,12,3,1,0,2
28,Yes,Travel_Rarely,1434,Research & Development,5,PhD,Technical Degree,65,3,Male,50,3,1,Laboratory Technician,3,Single,3441,1,Y,Yes,13,3,3,0,2
28,No,Travel_Frequently,193,Research & Development,2,Master,Life Sciences,1296,4,Male,52,2,1,Laboratory Technician,4,Married,3867,1,Y,Yes,12,3,2,1,2
21,No,Travel_Rarely,,Research & Development,1,High School,Technical Degree,1131,4,Female,70,2,1,Research Scientist,2,Single,,1,Y,Yes,11,3,3,0,2
25,No,Travel_Rarely,266,Research & Development,1,Master,Medical,1303,4,Female,40,3,1,Research Scientist,2,Single,2096,1,Y,No,18,3,4,0,2
22,No,Travel_Rarely,253,Research & Development,11,Master,Medical,511,1,Female,43,3,1,Research Scientist,2,Married,2244,1,Y,No,13,3,4,1,2
22,No,Travel_Rarely,,Research & Development,19,High School,Medical,217,3,Male,80,3,1,Research Scientist,4,Married,2323,1,Y,No,24,4,1,2,2
58,No,Travel_Rarely,,Research & Development,23,PhD,Life Sciences,1308,1,Male,88,3,1,Research Scientist,3,Divorced,2372,1,Y,No,12,3,4,2,2
34,No,Travel_Rarely,1320,Research & Development,20,Master,Technical Degree,1265,3,Female,89,4,1,Research Scientist,3,Married,2585,0,Y,No,17,3,4,0,2
25,No,Travel_Rarely,1280,Research & Development,7,High School,Medical,143,4,Male,64,2,1,Research Scientist,4,Married,,1,Y,No,11,3,3,2,2
33,No,Travel_Rarely,,Research & Development,5,PhD,Life Sciences,338,3,Female,63,2,1,Research Scientist,4,Married,,1,Y,No,13,3,3,1,2
36,Yes,Travel_Rarely,318,Research & Development,9,Master,Medical,90,4,Male,79,2,1,Research Scientist,3,Married,3388,0,Y,Yes,17,3,1,1,2
23,No,Travel_Rarely,310,Research & Development,10,High School,Medical,784,1,Male,79,4,1,Research Scientist,3,Single,3505,1,Y,No,18,3,4,0,2
35,No,Travel_Rarely,,Sales,2,Master,Marketing,49,4,Female,97,3,1,Sales Representative,4,Married,2014,1,Y,No,13,3,1,0,2
20,Yes,Travel_Rarely,500,Sales,2,Master,Medical,922,3,Female,49,2,1,Sales Representative,3,Single,2044,1,Y,No,13,3,4,0,2
29,No,Travel_Rarely,1090,Sales,10,Master,Marketing,766,4,Male,83,3,1,Sales Representative,2,Divorced,2297,1,Y,No,14,3,4,2,2
20,Yes,Travel_Frequently,769,Sales,9,Master,Marketing,1077,4,Female,54,3,1,Sales Representative,4,Single,2323,1,Y,Yes,14,3,2,0,2
21,No,Travel_Rarely,501,Sales,5,High School,Medical,2021,3,Male,58,3,1,Sales Representative,1,Single,2380,1,Y,Yes,11,3,4,0,2
20,No,Travel_Rarely,654,Sales,21,Master,Marketing,1226,3,Male,43,4,1,Sales Representative,4,Single,,1,Y,No,17,3,4,0,2
20,No,Travel_Rarely,727,Sales,9,High School,Life Sciences,1680,4,Male,54,3,1,Sales Representative,1,Single,2728,1,Y,No,11,3,1,0,2
29,Yes,Travel_Rarely,428,Sales,9,Master,Marketing,1752,2,Female,52,1,1,Sales Representative,2,Single,2760,1,Y,No,13,3,3,0,2
20,No,Travel_Rarely,1141,Sales,2,Master,Medical,1657,3,Female,31,3,1,Sales Representative,3,Single,2783,1,Y,No,19,3,1,0,2
31,No,Travel_Frequently,444,Sales,5,Master,Marketing,399,4,Female,84,3,1,Sales Representative,2,Divorced,2789,1,Y,No,11,3,3,1,2
24,No,Travel_Frequently,,Human Resources,10,Master,Medical,1746,1,Male,59,3,1,Human Resources,4,Married,2145,0,Y,No,14,3,4,1,3
28,No,Non-Travel,280,Human Resources,1,Bachelor,Life Sciences,1858,3,Male,43,3,1,Human Resources,4,Divorced,2706,1,Y,No,15,3,2,1,3
26,No,Travel_Rarely,390,Research & Development,17,PhD,Medical,1718,4,Male,62,1,1,Laboratory Technician,3,Married,2305,1,Y,No,15,3,3,3,3
58,Yes,Travel_Frequently,,Research & Development,2,High School,Life Sciences,918,4,Male,57,2,1,Laboratory Technician,4,Divorced,2380,9,Y,Yes,14,3,4,1,3
35,No,Travel_Rarely,992,Research & Development,1,Master,Medical,1564,4,Male,68,2,1,Laboratory Technician,1,Single,2450,1,Y,No,19,3,2,0,3
22,No,Travel_Rarely,594,Research & Development,2,High School,Technical Degree,169,3,Male,100,3,1,Laboratory Technician,4,Married,2523,0,Y,No,14,3,3,1,3
26,No,Travel_Rarely,,Research & Development,6,Master,Life Sciences,686,3,Female,71,3,1,Laboratory Technician,4,Married,,1,Y,Yes,13,3,3,1,3
34,No,Travel_Rarely,1346,Research & Development,19,Bachelor,Medical,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,,0,Y,No,11,3,3,1,3
23,No,Travel_Rarely,160,Research & Development,4,High School,Medical,1735,3,Female,51,3,1,Laboratory Technician,2,Single,3295,1,Y,No,13,3,3,0,3
35,No,Travel_Rarely,,Research & Development,10,Master,Other,1028,2,Male,45,3,1,Laboratory Technician,4,Divorced,3917,1,Y,No,20,4,1,1,3
27,No,Non-Travel,,Research & Development,8,Post-Doc,Life Sciences,1094,1,Male,87,1,1,Laboratory Technician,3,Married,4621,1,Y,No,19,3,4,3,3
30,Yes,Travel_Frequently,464,Research & Development,4,Master,Technical Degree,514,3,Male,40,3,1,Research Scientist,4,Single,2285,9,Y,Yes,23,4,3,0,3
29,Yes,Travel_Rarely,,Research & Development,10,Master,Life Sciences,994,4,Female,92,2,1,Research Scientist,1,Single,2404,6,Y,Yes,20,4,3,0,3
31,No,Travel_Rarely,408,Research & Development,9,PhD,Life Sciences,493,3,Male,42,2,1,Research Scientist,2,Single,2657,0,Y,Yes,16,3,4,0,3
38,No,Travel_Frequently,1391,Research & Development,10,High School,Medical,1006,3,Male,66,3,1,Research Scientist,3,Married,,0,Y,No,17,3,2,1,3
31,No,Travel_Rarely,192,Research & Development,2,PhD,Life Sciences,426,3,Male,32,3,1,Research Scientist,4,Divorced,2695,0,Y,Yes,18,3,2,1,3
28,No,Travel_Frequently,,Research & Development,6,Master,Life Sciences,1154,3,Male,39,2,1,Research Scientist,3,Divorced,2703,1,Y,Yes,14,3,4,1,3
22,No,Travel_Rarely,604,Research & Development,6,High School,Medical,675,1,Male,69,3,1,Research Scientist,3,Married,2773,0,Y,No,20,4,4,0,3
26,No,Travel_Rarely,1349,Research & Development,23,Master,Life Sciences,560,1,Female,90,3,1,Research Scientist,4,Divorced,,1,Y,No,22,4,2,2,3
21,No,Travel_Rarely,546,Research & Development,5,High School,Medical,1623,3,Male,97,3,1,Research Scientist,4,Single,3117,1,Y,No,18,3,3,0,3
21,No,Travel_Rarely,996,Research & Development,3,Bachelor,Medical,379,4,Male,100,2,1,Research Scientist,3,Single,3230,1,Y,No,17,3,1,0,3
28,No,Travel_Rarely,1217,Research & Development,1,Master,Medical,1834,3,Female,67,3,1,Research Scientist,1,Married,3591,1,Y,No,25,4,3,1,3
40,No,Travel_Frequently,1469,Research & Development,9,PhD,Medical,964,4,Male,35,3,1,Research Scientist,2,Divorced,3617,8,Y,Yes,14,3,4,1,3
29,No,Travel_Rarely,1010,Research & Development,1,Master,Life Sciences,1249,1,Female,97,3,1,Research Scientist,4,Divorced,3760,1,Y,No,15,3,1,3,3
29,No,Travel_Frequently,,Sales,20,Master,Technical Degree,974,3,Female,84,3,1,Sales Representative,4,Married,2157,1,Y,No,15,3,2,1,3
21,Yes,Travel_Frequently,756,Sales,1,High School,Technical Degree,478,1,Female,99,2,1,Sales Representative,2,Single,2174,1,Y,Yes,11,3,3,0,3
32,No,Travel_Rarely,234,Sales,1,PhD,Medical,2013,2,Male,68,2,1,Sales Representative,2,Married,2269,0,Y,No,14,3,2,1,3
23,Yes,Travel_Rarely,427,Sales,7,Master,Life Sciences,1702,3,Male,99,3,1,Sales Representative,4,Divorced,2275,1,Y,Yes,21,4,2,1,3
31,Yes,Travel_Frequently,1060,Sales,1,Master,Life Sciences,1331,4,Female,54,3,1,Sales Representative,2,Single,2302,1,Y,Yes,11,3,1,0,3
23,No,Travel_Rarely,541,Sales,2,High School,Technical Degree,113,3,Male,62,3,1,Sales Representative,1,Divorced,2322,3,Y,No,13,3,3,1,3
33,No,Non-Travel,1038,Sales,8,High School,Life Sciences,1044,2,Female,88,2,1,Sales Representative,4,Single,,0,Y,No,19,3,4,0,3
34,Yes,Travel_Frequently,296,Sales,6,Bachelor,Marketing,555,4,Female,33,1,1,Sales Representative,3,Divorced,2351,0,Y,No,16,3,4,1,3
24,No,Travel_Frequently,535,Sales,24,Master,Medical,632,4,Male,38,3,1,Sales Representative,4,Married,2400,0,Y,No,13,3,3,2,3
35,No,Travel_Rarely,384,Sales,8,PhD,Life Sciences,805,1,Female,72,3,1,Sales Representative,4,Married,2572,1,Y,No,16,3,2,1,3
21,No,Non-Travel,,Sales,9,Bachelor,Medical,484,1,Male,39,3,1,Sales Representative,4,Single,2610,1,Y,No,24,4,3,0,3
50,Yes,Travel_Rarely,,Sales,3,Bachelor,Marketing,47,1,Male,86,2,1,Sales Representative,3,Married,,1,Y,Yes,14,3,3,0,3
31,Yes,Travel_Frequently,703,Sales,2,Master,Life Sciences,1379,3,Female,90,2,1,Sales Representative,4,Single,2785,7,Y,No,14,3,3,0,3
31,No,Travel_Frequently,,Sales,20,Master,Life Sciences,1135,3,Male,67,4,1,Sales Representative,4,Married,2791,0,Y,No,12,3,1,1,3
38,No,Travel_Rarely,395,Sales,9,Master,Marketing,893,2,Male,98,2,1,Sales Representative,2,Married,,0,Y,No,19,3,4,1,3
31,No,Travel_Rarely,1154,Sales,2,Bachelor,Life Sciences,1996,1,Male,54,3,1,Sales Representative,3,Married,3067,0,Y,No,19,3,3,1,3
47,No,Travel_Rarely,1454,Sales,2,PhD,Life Sciences,925,4,Female,65,2,1,Sales Representative,4,Single,3294,1,Y,Yes,18,3,1,0,3
21,No,Travel_Rarely,1343,Sales,22,High School,Technical Degree,669,3,Male,49,3,1,Sales Representative,3,Single,3447,1,Y,No,11,3,3,0,3
55,No,Travel_Rarely,,Research & Development,4,PhD,Life Sciences,1501,4,Male,30,3,2,Healthcare Representative,3,Married,4035,0,Y,Yes,16,3,2,0,4
24,No,Travel_Rarely,,Research & Development,1,Bachelor,Life Sciences,1981,2,Male,45,2,2,,3,Single,4617,1,Y,No,12,3,2,0,4
29,Yes,Travel_Rarely,350,Human Resources,13,Master,Human Resources,1844,1,Male,56,2,1,Human Resources,1,Divorced,,4,Y,Yes,15,3,4,3,4
42,No,Travel_Rarely,544,Human Resources,2,High School,Technical Degree,470,3,Male,52,3,1,Human Resources,3,Divorced,2696,0,Y,Yes,11,3,3,1,4
34,No,Travel_Rarely,,Human Resources,3,Bachelor,Human Resources,847,3,Male,88,3,1,Human Resources,4,Married,3737,0,Y,No,19,3,3,1,4
28,No,Travel_Rarely,,Research & Development,15,Bachelor,Life Sciences,1102,1,Male,50,3,1,Laboratory Technician,3,Divorced,2207,1,Y,No,16,3,4,1,4
